Title,Link,Abstract
"Repatriate knowledge transfer: Antecedents and boundary conditions of a dyadic process","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049357378&doi=10.1016%2fj.jwb.2018.06.004&partnerID=40&md5=239918bc9cf64b5655eacd132664c143","In this study, we build on the ability-motivation-opportunity framework to test whether both repatriates’ disseminative capacity and domestic employees’ absorptive capacity as well as their opportunities for interaction affect repatriate knowledge transfer. Further, we examine the moderating effects of two distinctive factors associated with repatriate knowledge transfer: repatriate knowledge characteristics and characteristics of international assignments. Using multi-source time-lagged data from 101 dyads, we find support for most of our hypotheses. Our study contributes to theory and practice by providing an integrated analysis of antecedents and boundary conditions of repatriate knowledge transfer and by highlighting its dyadic nature. © 2018 Elsevier Inc."
"Institutional pressure and the implementation of corporate environment practices: examining the mediating role of absorptive capacity","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047846353&doi=10.1108%2fJKM-12-2016-0531&partnerID=40&md5=4502140d5c8e3685b23679d10abf9306","Purpose: Contemporary frameworks on institutional theory and corporate environmentalism observe that institutional fields positively influence a firm’s environmental response in the form of implementation of environmental practices. These frameworks, however, provide little evidence on why firms facing similar institutional field differ in their environmental response. This paper aims to incorporate the intra-organizational dynamics within the traditional institutional theory framework to address this heterogeneity, examining specifically the role of absorptive capacity for environmental knowledge in the organizational implementation of corporate environmental practices. Design/methodology/approach: Integrating the institutional theory and resource-based view, this paper examines the mediating role of absorptive capacity in the relationship between institutional pressure for corporate environmentalism vis-a-vis the implementation of corporate environmental practices. Partial least square structural equation modeling was used for hypotheses testing based on data obtained from the Indian apparel and textile industry. Findings: The results support the mediating role of absorptive capacity in the relationship between institutional pressure and implementation of corporate environmental practices. Further, this study highlights the importance of acquisition and utilization of environmental knowledge in driving environmentalism through developing absorptive capacity; the findings also suggest that the role of institutional pressure in the implementation of environmental practices should not be analyzed in isolation but rather in conjunction with the development of absorptive capacity that forms the internal basis of implementation. Practical implications: Managers need to focus on the development of organizational capabilities for acquiring and exploiting environmental knowledge to complement their preparedness in responding to any institutional pressures for environmental sustainability. Firms also need to link their environmental orientation with various sources of environmental knowledge and capabilities residing outside the organizational boundaries. It is important to note here that the development of absorptive capacities for the exploration and exploitation of external knowledge is indeed both required and necessary to build sustainable organizational capabilities. Originality/value: This paper is among the very few studies that address the issue of knowledge and development of related organizational capabilities for corporate environmentalism. Recognizing that environmental knowledge resides outside organizational boundaries with regulatory agencies and special interest groups, this paper highlights the importance of developing organizational capabilities for the acquisition and exploitation of environmental knowledge. © 2018, Emerald Publishing Limited."
"Absorption, combination and desorption: knowledge-oriented boundary spanning capacities","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046902453&doi=10.1108%2fJKM-08-2017-0325&partnerID=40&md5=c9fe4ad4d6c27b24cc3f011611bfa92d","Purpose: The purpose of this paper is to theoretically develop and empirically explore knowledge absorption, combination and desorption within and between organizations. Design/methodology/approach: On the basis of knowledge-based view and absorptive capacity, the authors have conducted a multiple-case study to develop a theoretically grounded and empirically supported model of intra- and inter-firm knowledge cycles. Findings: Firms identify their knowledge gaps and stocks, both tacit and explicit, undertaking efforts to fill the latter and maximize the value of the former. The paper finds that knowledge exploration, integration and exploitation both within the firm and between firms relies on absorptive, combinative and desorptive capacities. Further, as such capacities are organizationally expensive to maintain, firms will often emphasize one capacity over the other and focus either internally or externally to meet organizational goals. Originality/value: While there is extensive research into absorptive capacity and some into combinative capacity, there is little empirical investigation of desorptive capacity and none into the integration of the three concepts; this paper seeks to fill that gap. Moreover, the resulting novel integrative model allows managers and researchers to identify the various capacities in use and their applications within the firm and between firms. © 2018, Emerald Publishing Limited."
"Performance implications of organizational ambidexterity versus specialization in exploitation or exploration: The role of absorptive capacity","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048824803&doi=10.1016%2fj.jbusres.2018.06.001&partnerID=40&md5=f6a0e1eace3b9e9ce9ef5adf6ad9f708","Although ambidexterity is usually cited as a mean to achieve above average sustainable performance, theory indicates that due to trade-offs between exploitation and exploration at an organizational level, sometimes ambidexterity may be beyond reach, or ineffective, making specialization in exploitation or exploration, the more advisable course of action. However, there is no empirical research comparing the performance implications of ambidexterity and specialization in exploitation- or exploration-based types of innovations and the factors that may make each strategy more favorable. To fill this gap, we empirically test that absorptive capacity moderates the effects of ambidexterity and specialization in exploitation or exploration on firm performance. Using a sample of 281 manufacturing companies, results indicate that ambidexterity has a greater effect on performance at high levels of absorptive capacity, while specialization in exploitation or exploration is more effective at low levels of absorptive capacity. © 2018 Elsevier Inc."
"Managing technological distance in internal and external collaborations: absorptive capacity routines and social integration for innovation","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010715534&doi=10.1007%2fs10961-017-9557-0&partnerID=40&md5=be10b10b26df3e760c18bf0752a634c5","While high technological distance to project partners outside of the established value chain can positively influence innovation performance, project goals can only be achieved if the social integration of project members is improved in terms of coordination and communication. This paper draws on embeddedness and absorptive capacity literature to explore how social integration mechanisms translate into different learning outcomes in distant collaborations within and across organizational boundaries. Drawing upon expert interviews with project members as our primary source of data, we conducted an in-depth multiple case study analysis of a number of inter-organizational projects. Our findings indicate that the effect of different types of social integration mechanisms on learning outcomes also affect the ability to bridge distances in process and product technology. Moreover, they suggest that it is not just the extent, but also the interplay of social integration mechanisms surrounding internal and external absorptive capacity routines that enable project members to engage in the exploration, transformation and exploitation of distant knowledge. In examining how social integration mechanisms foster learning outcome in distant collaborations, our study contributes to the literature on absorptive capacity. © 2017, Springer Science+Business Media New York."
"Managing sequential ambidexterity in the electronics industry: roles of temporal switching capability and contingent factors","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020702570&doi=10.1080%2f13662716.2017.1334538&partnerID=40&md5=ed6c022b17bde11ba4a3971065b2f907","Researchers on organisational ambidexterity have proposed several solutions to address the potential conflicts between exploration activities and exploitation activities. Unlike simultaneous ambidexterity, sequential ambidexterity–defined as temporal switching between exploration and exploitation–has not been examined fully, and the conditions under which this temporal switching can be successful are unclear. This paper proposes the concept of temporal switching capability to better understand the process by which sequential ambidexterity is executed. In addition, we hypothesise that performance effects are contingent upon firm-specific factors: a firm’s business strategy and absorptive capacity. Utilising three sources of data–a secondary database, annual reports and a survey administered to 145 firms in the electronics industry with 10-year observations–we find support for our hypotheses. The results show that the temporal switching capability positively relates to new product performance and that business strategy type and absorptive capacity have moderating effects. The results are meaningful in both theory and practice. © 2017, © 2017 Informa UK Limited, trading as Taylor & Francis Group."
"Commonality, conflict, and absorptive capacity: Clarifying middle manager roles in the pharmaceutical industry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046724558&doi=10.1108%2fMD-11-2017-1086&partnerID=40&md5=bb85b325040cdb4bd56a64d004a40a5f","Purpose: The purpose of this paper is to explore the roles of middle managers (MM) in the knowledge-intensive environment as perceived by the employees, MM and principal decision makers (DM) in the context of the absorptive capacity process. Design/methodology/approach: In this qualitative study, the data were collected from pharmaceutical companies of Pakistan by using purposive sampling and the results were analyzed based on the thematic analysis approach. Findings: The results show that employees and principal DM have a strong agreement between them regarding the roles of MM; however, MM have contrasted views. Some of the roles were agreed to by all the respondents. Research limitations/implications: This study has focused on the roles of MM (common and conflicting) in knowledge-intensive pharmaceutical companies of Pakistan. The results of other studies on the roles of MM in the context of traditional and hybrid organizations may differ from this study. Practical implications: The results of this study show the importance of role specificity of MM for the smooth absorptive capacity process. While dealing with complex knowledge structures in pharmaceutical companies, this study gives strong input to HR mangers and consultants and practitioners as they continuously handle complex knowledge process activities. Originality/value: The study has explored the specific roles of MM by using the thematic analysis approach. © 2018, Emerald Publishing Limited."
"The impact of building information modelling (BIM) maturity and experience on contractor absorptive capacity","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046019278&doi=10.1080%2f17452007.2018.1467828&partnerID=40&md5=233bf0753f3f8c0179bdaacec4da7433","Building information modelling (BIM) has been adopted with increasing frequency by the construction industry in the last few years due to its potential to enhance construction business performance. While there is a general belief that higher BIM proficiency will lead to higher business performance, few empirical studies have tested this relationship. This research explores the extent to which a positive relationship exists between BIM adoption and organisational learning. The impact of BIM maturity and years of experience on the absorptive capacity (AC) of contractors to adopt new information for organisational learning is investigated through a survey of Australian building contractors. While BIM experience was found to be a significant predictor for contractor AC, the analysis of variance showed no significant relationship between BIM maturity and AC. The literature indicates a pervasive belief in a potent relationship between BIM maturity and organisational learning, yet it seems that factors traditionally viewed as more peripheral play a bigger role than expected in determining the impact of BIM on learning and business performance. Subsequent interviews found that (1) poor business ties, (2) willingness to share information and (3) organisational cultural values weaken the expected relationship between BIM maturity and AC. The results suggest that the extent of an organisation's experience with BIM is a greater predictor of learning performance than the complexity of BIM usage within the organisation. The main contribution of this paper is to reveal the complexity surrounding the relationship between BIM and business performance. © 2018, © 2018 Informa UK Limited, trading as Taylor & Francis Group."
"Broad Search, Deep Search, and the Absorptive Capacity Performance of Family and Nonfamily Firm R&D","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047383018&doi=10.1177%2f0894486518775187&partnerID=40&md5=06dc90d9dd5de14ea5dec49bacb9b96a","This study investigates how family and nonfamily firms learn. Specifically, it asks whether family influence fosters or hinders the transformation of the potential absorptive capacity augmented by research and development (R&D) into the realized absorptive capacity embodied by innovation outcomes. The conceptual model posits that family influence will enhance the absorptive capacity performance of R&D regarding exploitative innovations that tend to result from deep external search yet diminish the absorptive capacity performance of R&D regarding exploratory innovations that tend to result from broad external search. Regression analyses using a sample of 346 Dutch manufacturing small and medium-sized enterprises largely support the hypothesized model. © The Author(s) 2018."
"Inter-organizational knowledge acquisition and firms' radical innovation: A moderated mediation analysis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047462042&doi=10.1016%2fj.jbusres.2018.04.038&partnerID=40&md5=fbf3021a497e0b3466a1f8dbfce887e3","Inter-organizational knowledge acquisition has become an increasingly important strategy for firms to improve their levels of innovation. Building upon the knowledge-based view (KBV) and the organizational learning perspective, and using data from 376 high-tech Chinese firms, we examine the underlying mediating mechanisms and contextual conditions in the relationship between inter-organizational knowledge acquisition and firms' radical innovation. Our results demonstrate that inter-organizational knowledge acquisition has a significant positive impact on firms' radical innovation. We also find that realized absorptive capacity mediates the relationship between inter-organizational knowledge acquisition and firms' radical innovation. Moreover, we discover that knowledge ambiguity negatively moderates both the direct and indirect effects of inter-organizational knowledge acquisition on firms' radical innovation through realized absorptive capacity. Our findings contribute to open innovation research by discussing the mediating mechanisms of how inter-organizational knowledge acquisition can be converted to firm innovation via realized absorptive capacity. Our results also provide fine-grained insight into the contingent role of knowledge ambiguity, and how its interaction with inter-organizational knowledge acquisition and realized absorptive capacity can have profound effects on firms' innovativeness. © 2018 Elsevier Inc."
